Table : Therapeutic categories for drugs provided, prescribed, or continued, at ambulatory care visits, by number of occurences per 100 drug mention, United States, 2007               
                  
Therapeutic drug category                                | Number of occurences per 100 drug mention
      Nonsteroidal anti-inflammatory agents. . . . . . . |   3.6
      Salicylates. . . . . . . . . . . . . . . . . . . . |   2.4
      Analgesic combinations . . . . . . . . . . . . . . |   0.2
      Narcotic analgesic combinations. . . . . . . . . . |   2.8
      Antimigraine agents. . . . . . . . . . . . . . . . |   0.3
      Cox-2 inhibitors . . . . . . . . . . . . . . . . . |   0.5
   Anticonvulsants . . . . . . . . . . . . . . . . . . . |   3.0
      Hydantoin anticonvulsants. . . . . . . . . . . . . |   0.1
      Barbiturate anticonvulsants. . . . . . . . . . . . |   0.0
      Benzodiazepine anticonvulsants . . . . . . . . . . |   1.3
      Miscellaneous anticonvulsants. . . . . . . . . . . |   0.0
      Dibenzazepine anticonvulsants. . . . . . . . . . . |   0.1
      Fatty acid derivative anticonvulsants. . . . . . . |   0.1
      Gamma-aminobutyric acid analogs. . . . . . . . . . |   0.7
      Triazine anticonvulsants . . . . . . . . . . . . . |   0.2
      Pyrrolidine anticonvulsants. . . . . . . . . . . . |   0.0
      Carbonic anhydrase inhibitor anticonvulsants . . . |   0.2
   Antiemetic/antivertigo agents . . . . . . . . . . . . |   2.4
      5HT3 receptor antagonists. . . . . . . . . . . . . |   0.3
      Phenothiazine antiemetics. . . . . . . . . . . . . |   0.7
      Anticholinergic antiemetics. . . . . . . . . . . . |   0.6
      Miscellaneous antiemetics. . . . . . . . . . . . . |   0.8
   Anti-Parkinson agents . . . . . . . . . . . . . . . . |   0.7
      Anticholinergic anti-Parkinson agents. . . . . . . |   0.4
      Dopaminergic anti-Parkinson agents . . . . . . . . |   0.3
   Anxiolytics, sedatives, and hypnotics . . . . . . . . |   3.8
      Barbiturates . . . . . . . . . . . . . . . . . . . |   0.0
      Benzodiazepines. . . . . . . . . . . . . . . . . . |   2.3
      Miscellaneous anxiolytics, sedatives and hypnotics |   1.5
   CNS stimulants. . . . . . . . . . . . . . . . . . . . |   0.9
   General anesthetics . . . . . . . . . . . . . . . . . |   0.1
   Muscle relaxants. . . . . . . . . . . . . . . . . . . |   1.1
      Neuromuscular blocking agents. . . . . . . . . . . |   0.0
      Skeletal muscle relaxants. . . . . . . . . . . . . |   1.1
   Miscellaneous central nervous system agents . . . . . |   0.1
   Anorexiants . . . . . . . . . . . . . . . . . . . . . |   0.3
   Cholinesterase inhibitors . . . . . . . . . . . . . . |   0.1
   Drugs used in alcohol dependence. . . . . . . . . . . |   0.0
Coagulation modifiers. . . . . . . . . . . . . . . . . . |   4.0
   Anticoagulants. . . . . . . . . . . . . . . . . . . . |   0.9
      Heparins . . . . . . . . . . . . . . . . . . . . . |   0.1
      Coumarins and indandiones. . . . . . . . . . . . . |   0.8
   Antiplatelet agents . . . . . . . . . . . . . . . . . |   3.1
      Platelet aggregation inhibitors. . . . . . . . . . |   3.1
   Miscellaneous coagulation modifiers . . . . . . . . . |   0.0
Gastrointestinal agents. . . . . . . . . . . . . . . . . |   5.2
   Antacids. . . . . . . . . . . . . . . . . . . . . . . |   0.3
   Antidiarrheals. . . . . . . . . . . . . . . . . . . . |   0.1
   Digestive enzymes . . . . . . . . . . . . . . . . . . |   0.0
   Gallstone solubilizing agents . . . . . . . . . . . . |   0.0
   GI stimulants . . . . . . . . . . . . . . . . . . . . |   0.2
   H2 antagonists. . . . . . . . . . . . . . . . . . . . |   0.7
   Laxatives . . . . . . . . . . . . . . . . . . . . . . |   0.6
   Miscellaneous GI agents . . . . . . . . . . . . . . . |   0.1
   Proton pump inhibitors. . . . . . . . . . . . . . . . |   2.7
   5-aminosalicylates. . . . . . . . . . . . . . . . . . |   0.1
   Functional bowel disorder agents. . . . . . . . . . . |   0.3
      Anticholinergics/antispasmodics. . . . . . . . . . |   0.2
Hormones . . . . . . . . . . . . . . . . . . . . . . . . |   6.1
   Adrenal cortical steroids . . . . . . . . . . . . . . |   2.0
      Glucocorticoids. . . . . . . . . . . . . . . . . . |   1.9
   Miscellaneous hormones. . . . . . . . . . . . . . . . |   0.2
   Sex hormones. . . . . . . . . . . . . . . . . . . . . |   1.6
   Contraceptives. . . . . . . . . . . . . . . . . . . . |   0.7
      Androgens and anabolic steroids. . . . . . . . . . |   0.1
      Estrogens. . . . . . . . . . . . . . . . . . . . . |   0.5
      Gonadotropins. . . . . . . . . . . . . . . . . . . |   0.0
      Progestins . . . . . . . . . . . . . . . . . . . . |   0.2
      Sex hormone combinations . . . . . . . . . . . . . |   0.1
      Miscellaneous sex hormones . . . . . . . . . . . . |   0.1
      5-alpha-reductase inhibitors . . . . . . . . . . . |   0.2
   Thyroid drugs . . . . . . . . . . . . . . . . . . . . |   1.5
   Bisphosphonates . . . . . . . . . . . . . . . . . . . |   0.7
   Incretin mimetics . . . . . . . . . . . . . . . . . . |   0.0
Miscellaneous agents . . . . . . . . . . . . . . . . . . |   4.4
   Antidotes . . . . . . . . . . . . . . . . . . . . . . |   0.0
   Chelating agents. . . . . . . . . . . . . . . . . . . |   0.0
   Local injectable anesthetics. . . . . . . . . . . . . |   0.6
   Miscellaneous uncategorized agents. . . . . . . . . . |   1.8
   Genitourinary tract agents. . . . . . . . . . . . . . |   0.7
      Impotence agents . . . . . . . . . . . . . . . . . |   0.3
      Urinary antispasmodics . . . . . . . . . . . . . . |   0.3
      Urinary pH modifiers . . . . . . . . . . . . . . . |   0.0
      Miscellaneous genitourinary tract agents . . . . . |   0.1
   Antirheumatics. . . . . . . . . . . . . . . . . . . . |   0.5
   Antipsoriatics. . . . . . . . . . . . . . . . . . . . |   0.2
   Smoking cessation agents. . . . . . . . . . . . . . . |   0.7
Nutritional products . . . . . . . . . . . . . . . . . . |   5.4
   Iron products . . . . . . . . . . . . . . . . . . . . |   0.3
   Minerals and electrolytes . . . . . . . . . . . . . . |   1.7
   Oral nutritional supplements. . . . . . . . . . . . . |   0.0
   Vitamins. . . . . . . . . . . . . . . . . . . . . . . |   1.2
   Vitamin and mineral combinations. . . . . . . . . . . |   1.2
Respiratory agents . . . . . . . . . . . . . . . . . . . |   9.6
   Antihistamines. . . . . . . . . . . . . . . . . . . . |   2.9
   Antitussives. . . . . . . . . . . . . . . . . . . . . |   0.3
   Bronchodilators . . . . . . . . . . . . . . . . . . . |   3.1
      Methylxanthines. . . . . . . . . . . . . . . . . . |   0.1
      Adrenergic bronchodilators . . . . . . . . . . . . |   1.9
      Bronchodilator combinations. . . . . . . . . . . . |   0.8
      Anticholinergic bronchodilators. . . . . . . . . . |   0.3
   Decongestants . . . . . . . . . . . . . . . . . . . . |   0.2
   Expectorants. . . . . . . . . . . . . . . . . . . . . |   0.3
   Miscellaneous respiratory agents. . . . . . . . . . . |   0.4
   Respiratory inhalant products . . . . . . . . . . . . |   0.4
      Inhaled corticosteroids. . . . . . . . . . . . . . |   0.4
   Antiasthmatic combinations. . . . . . . . . . . . . . |   0.1
   Upper respiratory combinations. . . . . . . . . . . . |   1.1
   Leukotriene modifiers . . . . . . . . . . . . . . . . |   0.7
   Lung surfactants. . . . . . . . . . . . . . . . . . . |   0.0
Topical agents . . . . . . . . . . . . . . . . . . . . . |   6.6
   Anorectal preparations. . . . . . . . . . . . . . . . |   0.0
   Antiseptics and germicides. . . . . . . . . . . . . . |   0.1
   Dermatological agents . . . . . . . . . . . . . . . . |   2.8
      Topical anti-infectives. . . . . . . . . . . . . . |   0.1
      Topical steroids . . . . . . . . . . . . . . . . . |   1.0
      Topical anesthetics. . . . . . . . . . . . . . . . |   0.1
      Miscellaneous topical agents . . . . . . . . . . . |   0.5
      Topical steroids with anti-infectives. . . . . . . |   0.1
      Topical acne agents. . . . . . . . . . . . . . . . |   0.4
      Topical antipsoriatics . . . . . . . . . . . . . . |   0.0
      Topical emollients . . . . . . . . . . . . . . . . |   0.1
      Topical antibiotics. . . . . . . . . . . . . . . . |   0.2
      Topical antifungals. . . . . . . . . . . . . . . . |   0.3
      Topical debriding agents . . . . . . . . . . . . . |   0.0
      Mouth and throat products. . . . . . . . . . . . . |   0.1
   Ophthalmic preparations . . . . . . . . . . . . . . . |   1.9
      Ophthalmic anti-infectives . . . . . . . . . . . . |   0.1
      Ophthalmic glaucoma agents . . . . . . . . . . . . |   0.7
      Ophthalmic steroids. . . . . . . . . . . . . . . . |   0.2
      Ophthalmic steroids with anti-infectives . . . . . |   0.0
      Ophthalmic anti-inflammatory agents. . . . . . . . |   0.1
      Ophthalmic lubricants and irrigations. . . . . . . |   0.0
      Miscellaneous ophthalmic agents. . . . . . . . . . |   0.2
      Ophthalmic antihistamines and decongestants. . . . |   0.2
      Mydriatics . . . . . . . . . . . . . . . . . . . . |   0.2
      Ophthalmic anesthetics . . . . . . . . . . . . . . |   0.1
      Ophthalmic diagnostic agents . . . . . . . . . . . |   0.1
   Otic preparations . . . . . . . . . . . . . . . . . . |   0.1
      Miscellaneous otic agents. . . . . . . . . . . . . |   0.1
   Vaginal preparations. . . . . . . . . . . . . . . . . |   0.3
      Spermicides. . . . . . . . . . . . . . . . . . . . |   0.0
      Vaginal anti-infectives. . . . . . . . . . . . . . |   0.3
   Nasal preparations. . . . . . . . . . . . . . . . . . |   1.6
      Nasal steroids . . . . . . . . . . . . . . . . . . |   1.5
      Nasal antihistamines and decongestants . . . . . . |   0.1
Alternative medicines. . . . . . . . . . . . . . . . . . |   0.7
   Nutraceutical products. . . . . . . . . . . . . . . . |   0.5
   Herbal products . . . . . . . . . . . . . . . . . . . |   0.2
Psychotherapeutic agents . . . . . . . . . . . . . . . . |   5.4
   Antidepressants . . . . . . . . . . . . . . . . . . . |   4.5
      Miscellaneous antidepressants. . . . . . . . . . . |   0.6
      SSRI antidepressants . . . . . . . . . . . . . . . |   2.2
      Tricyclic antidepressants. . . . . . . . . . . . . |   0.4
      Phenylpiperazine antidepressants . . . . . . . . . |   0.4
      Tetracyclic antidepressants. . . . . . . . . . . . |   0.1
      SSNRI antidepressants. . . . . . . . . . . . . . . |   0.7
   Antipsychotics. . . . . . . . . . . . . . . . . . . . |   0.9
      Miscellaneous antipsychotic agents . . . . . . . . |   0.1
      Phenothiazine antipsychotics . . . . . . . . . . . |   0.1
      Atypical antipsychotics. . . . . . . . . . . . . . |   0.7
Immunologic agents . . . . . . . . . . . . . . . . . . . |   4.2
   Bacterial vaccines. . . . . . . . . . . . . . . . . . |   0.8
   Immune globulins. . . . . . . . . . . . . . . . . . . |   0.0
   Toxoids . . . . . . . . . . . . . . . . . . . . . . . |   0.7
   Viral vaccines. . . . . . . . . . . . . . . . . . . . |   2.2
   Miscellaneous biologicals . . . . . . . . . . . . . . |   0.2
   Immunosuppressive agents. . . . . . . . . . . . . . . |   0.1
   Interferons . . . . . . . . . . . . . . . . . . . . . |   0.0
   Immunosuppressive monoclonal antibodies . . . . . . . |   0.1
Radiologic agents. . . . . . . . . . . . . . . . . . . . |   0.0
   Radiocontrast agents. . . . . . . . . . . . . . . . . |   0.0
      Non-ionic iodinated contrast media . . . . . . . . |   0.0
      Ionic iodinated contrast media . . . . . . . . . . |   0.0
   Radiologic adjuncts . . . . . . . . . . . . . . . . . |   0.0
      Cardiac stressing agents . . . . . . . . . . . . . |   0.0
Metabolic agents . . . . . . . . . . . . . . . . . . . . |   8.8
   Antihyperlipidemic agents . . . . . . . . . . . . . . |   5.0
      HMG-CoA reductase inhibitors . . . . . . . . . . . |   3.5
      Miscellaneous antihyperlipidemic agents. . . . . . |   0.2
      Fibric acid derivatives. . . . . . . . . . . . . . |   0.3
      Bile acid sequestrants . . . . . . . . . . . . . . |   0.0
      Cholesterol absorption inhibitors. . . . . . . . . |   0.4
      Antihyperlipidemic combinations. . . . . . . . . . |   0.6
   Antidiabetic agents . . . . . . . . . . . . . . . . . |   3.5
      Sulfonylureas. . . . . . . . . . . . . . . . . . . |   0.8
      Non-sulfonylureas. . . . . . . . . . . . . . . . . |   1.1
      Insulin. . . . . . . . . . . . . . . . . . . . . . |   0.7
      Thiazolidinediones . . . . . . . . . . . . . . . . |   0.5
      Meglitinides . . . . . . . . . . . . . . . . . . . |   0.0
      Antidiabetic combinations. . . . . . . . . . . . . |   0.2
      Dipeptidyl peptidase 4 inhibitors. . . . . . . . . |   0.0
      Antigout agents. . . . . . . . . . . . . . . . . . |   0.3
      Antihyperuricemic agents . . . . . . . . . . . . . |   0.2
      Glucose elevating agents . . . . . . . . . . . . . |   0.0
Medical gases. . . . . . . . . . . . . . . . . . . . . . |   0.1
Pharmaceutical aids. . . . . . . . . . . . . . . . . . . |   0.3

Author : CDC
Table : 11
File : https://www.cdc.gov/nchs/data/series/sr_13/sr13_169.pdf  
