Table : Percent distribution of setting type according to diagnosis group, by primary care offices, in United States, 2006–2007

Diagnosis group                                                        | Percent
   Schizophrenic disorders . . . . . . . . . . . . . . . . . . . . . . | 
   Major depressive disorder . . . . . . . . . . . . . . . . . . . . . | 
   Other psychoses . . . . . . . . . . . . . . . . . . . . . . . . . . | 14.7
   Anxiety states. . . . . . . . . . . . . . . . . . . . . . . . . . . | 44.4
   Neurotic depression . . . . . . . . . . . . . . . . . . . . . . . . | 47.8
   Alcohol dependence syndrome . . . . . . . . . . . . . . . . . . . . | 
   Drug dependence and nondependent abuse of drugs . . . . . . . . . . | 17.9
   Acute reaction to stress and adjustment reaction. . . . . . . . . . | 20.4
   Depressive disorder, not elsewhere classified . . . . . . . . . . . | 54.9
   Attention deficit disorder. . . . . . . . . . . . . . . . . . . . . | 52.5
   Other mental disorders. . . . . . . . . . . . . . . . . . . . . . . | 21.4
Diseases of the nervous system and sense organs. . . . . . . . . . . . | 28.7
   Migraine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 40.3
   Other disorders of the central nervous system . . . . . . . . . . . | 28.2
   Carpal tunnel syndrome. . . . . . . . . . . . . . . . . . . . . . . | 27.3
   Other disorders of the peripheral nervous system. . . . . . . . . . | 30.9
   Retinal detachment and other retinal disorders. . . . . . . . . . . | 
   Glaucoma. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Cataract. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Disorders of refraction and accommodation . . . . . . . . . . . . . | 
   Conjunctivitis. . . . . . . . . . . . . . . . . . . . . . . . . . . | 60.4
   Disorder of eyelids . . . . . . . . . . . . . . . . . . . . . . . . | 
   Other disorders of the eye and adnexa . . . . . . . . . . . . . . . | 7.3
   Disorders of external ear . . . . . . . . . . . . . . . . . . . . . | 50.8
   Otitis media and eustachian tube disorders. . . . . . . . . . . . . | 66.7
   Other disorders of the ear and mastoid process. . . . . . . . . . . | 38.6
Diseases of the circulatory system . . . . . . . . . . . . . . . . . . | 53.5
   Angina pectoris . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Coronary atherosclerosis. . . . . . . . . . . . . . . . . . . . . . | 27.9
   Other ischemic heart disease. . . . . . . . . . . . . . . . . . . . | 
   Cardiac dysrhythmias. . . . . . . . . . . . . . . . . . . . . . . . | 35.8
   Congestive heart failure. . . . . . . . . . . . . . . . . . . . . . | 41.6
   Other heart disease . . . . . . . . . . . . . . . . . . . . . . . . | 28.7
   Essential hypertension. . . . . . . . . . . . . . . . . . . . . . . | 77.5
   Cerebrovascular disease . . . . . . . . . . . . . . . . . . . . . . | 31.4
   Diseases of the arteries, arterioles and capillaries. . . . . . . . | 26.5
   Hemorrhoids . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 25.3
   Other diseases of the circulatory system. . . . . . . . . . . . . . | 28.0
Diseases of the respiratory system . . . . . . . . . . . . . . . . . . | 65.1
   Acute sinusitis . . . . . . . . . . . . . . . . . . . . . . . . . . | 75.5
   Acute pharyngitis . . . . . . . . . . . . . . . . . . . . . . . . . | 74.2
   Acute tonsillitis . . . . . . . . . . . . . . . . . . . . . . . . . | 73.7
   Acute bronchitis and bronchiolitis. . . . . . . . . . . . . . . . . | 70.8
   Other acute respiratory infections. . . . . . . . . . . . . . . . . | 80.0
   Chronic sinusitis . . . . . . . . . . . . . . . . . . . . . . . . . | 72.3
   Allergic rhinitis . . . . . . . . . . . . . . . . . . . . . . . . . | 45.7
   Pneumonia . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 57.5
   Chronic and unspecified bronchitis. . . . . . . . . . . . . . . . . | 73.1
   Asthma. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 52.0
   Other chronic obstructive pulmonary disease, allied conditions. . . | 55.4
   Other diseases of the respiratory system. . . . . . . . . . . . . . | 42.1
Diseases of the digestive system . . . . . . . . . . . . . . . . . . . | 41.1
   Diseases of the teeth and supporting structures . . . . . . . . . . | 32.1
   Gastritis and duodenitis. . . . . . . . . . . . . . . . . . . . . . | 49.7
   Esophagitis . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Ulcer of stomach and small intestine. . . . . . . . . . . . . . . . | 
   Hernia of abdominal cavity. . . . . . . . . . . . . . . . . . . . . | 23.4
   Noninfectious enteritis and colitis . . . . . . . . . . . . . . . . | 49.3
   Diverticula of intestine. . . . . . . . . . . . . . . . . . . . . . | 36.9
   Constipation. . . . . . . . . . . . . . . . . . . . . . . . . . . . | 48.9
   Irritable bowel syndrome. . . . . . . . . . . . . . . . . . . . . . | 
   Anal and rectal diseases. . . . . . . . . . . . . . . . . . . . . . | 34.4
   Disorder of gallbladder and biliary tract . . . . . . . . . . . . . | 
   Gastrointestinal hemorrhage . . . . . . . . . . . . . . . . . . . . | 
   Other diseases of the digestive system. . . . . . . . . . . . . . . | 48.1
Diseases of the genitourinary system . . . . . . . . . . . . . . . . . | 52.2
   Calculus of kidney and ureter . . . . . . . . . . . . . . . . . . . | 
   Cystitis and other disorders of the bladder . . . . . . . . . . . . | 39.0
   Urinary tract infection, site not specified . . . . . . . . . . . . | 54.9
   Other diseases of the urinary system. . . . . . . . . . . . . . . . | 22.5
   Hyperplasia of prostate . . . . . . . . . . . . . . . . . . . . . . | 26.5
   Other disorders of male genital organs. . . . . . . . . . . . . . . | 35.4
   Disorders of the breast . . . . . . . . . . . . . . . . . . . . . . | 51.2
   Inflammatory disease of female pelvic organs. . . . . . . . . . . . | 75.5
   Noninflammatory disorders of the female genital organs. . . . . . . | 71.6
   Disorders of menstruation and abnormal bleeding . . . . . . . . . . | 82.0
   Menopausal and postmenopausal disorders . . . . . . . . . . . . . . | 93.7
   Other disorders of female genital tract . . . . . . . . . . . . . . | 68.8
Complications of pregnancy, childbirth, and the puerperium . . . . . . | 61.2
Diseases of the skin and subcutaneous tissue . . . . . . . . . . . . . | 36.7
   Cellulitis and abscess. . . . . . . . . . . . . . . . . . . . . . . | 47.5
   Other infection of the skin and subcutaneous tissue . . . . . . . . | 57.9
   Contact dermatitis and other eczema . . . . . . . . . . . . . . . . | 51.4
   Psoriasis and similar disorders . . . . . . . . . . . . . . . . . . | 
   Other inflammatory conditions of skin and subcutaneous tissue . . . | 39.0
   Corns, callosities, other hypertrophic, atrophic skin conditions. . | 28.8
   Actinic and seborrheic keratosis. . . . . . . . . . . . . . . . . . | 
   Acne. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 19.0
   Sebaceous cyst. . . . . . . . . . . . . . . . . . . . . . . . . . . | 38.3
   Urticaria . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 37.5
   Other disorders of the skin and subcutaneous tissue . . . . . . . . | 39.8
Diseases of the musculoskeletal system and connective tissue . . . . . | 38.4
   Rheumatoid arthritis. . . . . . . . . . . . . . . . . . . . . . . . | 21.1
   Osteoarthrosis and allied disorders . . . . . . . . . . . . . . . . | 30.4
   Other arthropathies and related disorders . . . . . . . . . . . . . | 30.6
   Derangements and other unspecified disorders of joints. . . . . . . | 36.7
   Intervertebral disc disorders . . . . . . . . . . . . . . . . . . . | 25.5
   Lumbago . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 53.2
   Other dorsopathies. . . . . . . . . . . . . . . . . . . . . . . . . | 40.7
   Peripheral enthesopathies . . . . . . . . . . . . . . . . . . . . . | 37.2
   Synovitis and tenosynovitis . . . . . . . . . . . . . . . . . . . . | 38.9
   Myalgia and myositis, unspecified . . . . . . . . . . . . . . . . . | 48.8
   Other rheumatism,excluding back . . . . . . . . . . . . . . . . . . | 43.0
   Disorders of bone and cartilage . . . . . . . . . . . . . . . . . . | 57.7
   Other diseases of the musculoskeletal system, connective tissue . . | 39.3
Congenital anomalies . . . . . . . . . . . . . . . . . . . . . . . . . | 21.4
Certain conditions originating in the perinatal period . . . . . . . . | 75.3
Symptoms, signs, and ill-defined conditions. . . . . . . . . . . . . . | 45.6
   Syncope and collapse. . . . . . . . . . . . . . . . . . . . . . . . | 27.4
   Convulsions . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 21.1
   Dizziness and giddiness . . . . . . . . . . . . . . . . . . . . . . | 52.8
   Pyrexia of unknown origin . . . . . . . . . . . . . . . . . . . . . | 41.8
   Symptoms involving skin and other integumentary tissue. . . . . . . | 56.6
   Headache. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 41.8
   Epistaxis . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Abnormal heart sounds . . . . . . . . . . . . . . . . . . . . . . . | 28.3
   Dyspnea and respiratory abnormalities . . . . . . . . . . . . . . . | 33.5
   Cough . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 67.1
   Chest pain. . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 32.2
   Symptoms involving the urinary system . . . . . . . . . . . . . . . | 46.6
   Abdominal pain. . . . . . . . . . . . . . . . . . . . . . . . . . . | 39.8
   Other symptoms, signs and ill-defined conditions. . . . . . . . . . | 53.5
Injury and poisoning . . . . . . . . . . . . . . . . . . . . . . . . . | 27.2
   Fracture of radius and ulna . . . . . . . . . . . . . . . . . . . . | 
   Fracture of hand and fingers. . . . . . . . . . . . . . . . . . . . | 
   Fracture of lower limb. . . . . . . . . . . . . . . . . . . . . . . | 
   Other fractures . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Sprains and strains of wrist and hand . . . . . . . . . . . . . . . | 
   Sprains and strains of knee and leg . . . . . . . . . . . . . . . . | 28.9
   Sprains and strains of ankle. . . . . . . . . . . . . . . . . . . . | 28.7
   Sprains and strains of neck . . . . . . . . . . . . . . . . . . . . | 30.6
   Other sprains and strains of back . . . . . . . . . . . . . . . . . | 41.7
   Other sprains and strains . . . . . . . . . . . . . . . . . . . . . | 27.8
   Intracranial injury, excluding those with skull fracture. . . . . . | 
   Open wound of head. . . . . . . . . . . . . . . . . . . . . . . . . | 
   Open wound of hand and fingers. . . . . . . . . . . . . . . . . . . | 17.7
   Other open wound. . . . . . . . . . . . . . . . . . . . . . . . . . | 31.7
   Superficial injuries of cornea. . . . . . . . . . . . . . . . . . . | 
   Other superficial injury. . . . . . . . . . . . . . . . . . . . . . | 53.0
   Contusion with intact skin surface. . . . . . . . . . . . . . . . . | 26.9
   Other injuries. . . . . . . . . . . . . . . . . . . . . . . . . . . | 29.5
   Poisonings. . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Other and unspecified effects of external causes. . . . . . . . . . | 37.8
   Complications of surgical/medical care, not elsewhere classified. . | 
Supplementary classification of factors influencing health status. . . | 61.9
   Potential health hazards related to communicable diseases . . . . . | 59.1
   Potential health hazards related to personal and family history . . | 44.4
   Routine infant or child health check. . . . . . . . . . . . . . . . | 91.2
   Normal pregnancy. . . . . . . . . . . . . . . . . . . . . . . . . . | 84.9
   Postpartum care and examination . . . . . . . . . . . . . . . . . . | 89.4
   Encounter for contraceptive management. . . . . . . . . . . . . . . | 78.7
   Other encounter related to reproduction . . . . . . . . . . . . . . | 79.6
   Lens replaced by pseudophakos . . . . . . . . . . . . . . . . . . . | .
   Artificial opening status and other postsurgical states . . . . . . | 20.1
   Attention to dressings and sutures. . . . . . . . . . . . . . . . . | 38.4
   Follow-up examination . . . . . . . . . . . . . . . . . . . . . . . | 26.0
   General medical examination . . . . . . . . . . . . . . . . . . . . | 71.9
   Observation and evaluation for suspected conditions not found . . . | 44.2
   Gynecological examination . . . . . . . . . . . . . . . . . . . . . | 92.0
   Other factors influencing health status or health services contact. | 39.3
Blank and illegible. . . . . . . . . . . . . . . . . . . . . . . . . . | 51.2

Author : CDC
Page : 22+
Table : 7
File : https://www.cdc.gov/nchs/data/series/sr_13/sr13_169.pdf  
