Table : Percent distribution of setting type according to diagnosis group, by hospital outpatient departments, in United States, 2006–2007

Diagnosis group                                                        | Percent
   Other infection of the skin and subcutaneous tissue . . . . . . . . |  8.8
   Contact dermatitis and other eczema . . . . . . . . . . . . . . . . |  5.6
   Psoriasis and similar disorders . . . . . . . . . . . . . . . . . . |  7.6
   Other inflammatory conditions of skin and subcutaneous tissue . . . |  6.1
   Corns, callosities, other hypertrophic, atrophic skin conditions. . |  6.4
   Actinic and seborrheic keratosis. . . . . . . . . . . . . . . . . . |  
   Acne. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  3.4
   Sebaceous cyst. . . . . . . . . . . . . . . . . . . . . . . . . . . |  5.2
   Urticaria . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  7.2
   Other disorders of the skin and subcutaneous tissue . . . . . . . . |  9.4
Diseases of the musculoskeletal system and connective tissue . . . . . |  7.2
   Rheumatoid arthritis. . . . . . . . . . . . . . . . . . . . . . . . |  8.6
   Osteoarthrosis and allied disorders . . . . . . . . . . . . . . . . |  4.1
   Other arthropathies and related disorders . . . . . . . . . . . . . |  7.6
   Derangements and other unspecified disorders of joints. . . . . . . |  8.4
   Intervertebral disc disorders . . . . . . . . . . . . . . . . . . . |  6.9
   Lumbago . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  7.5
   Other dorsopathies. . . . . . . . . . . . . . . . . . . . . . . . . |  7.4
   Peripheral enthesopathies . . . . . . . . . . . . . . . . . . . . . |  6.4
   Synovitis and tenosynovitis . . . . . . . . . . . . . . . . . . . . |  4.8
   Myalgia and myositis, unspecified . . . . . . . . . . . . . . . . . |  7.8
   Other rheumatism,excluding back . . . . . . . . . . . . . . . . . . |  7.5
   Disorders of bone and cartilage . . . . . . . . . . . . . . . . . . |  9.5
   Other diseases of the musculoskeletal system, connective tissue . . |  9.0
Congenital anomalies . . . . . . . . . . . . . . . . . . . . . . . . . | 18.0
Certain conditions originating in the perinatal period . . . . . . . . | 12.4
Symptoms, signs, and ill-defined conditions. . . . . . . . . . . . . . |  6.8
   Syncope and collapse. . . . . . . . . . . . . . . . . . . . . . . . |  3.4
   Convulsions . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  9.6
   Dizziness and giddiness . . . . . . . . . . . . . . . . . . . . . . |  4.2
   Pyrexia of unknown origin . . . . . . . . . . . . . . . . . . . . . |  4.0
   Symptoms involving skin and other integumentary tissue. . . . . . . |  8.4
   Headache. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  6.9
   Epistaxis . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  3.4
   Abnormal heart sounds . . . . . . . . . . . . . . . . . . . . . . . |  9.9
   Dyspnea and respiratory abnormalities . . . . . . . . . . . . . . . |  5.4
   Cough . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 10.1
   Chest pain. . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  4.9
   Symptoms involving the urinary system . . . . . . . . . . . . . . . |  7.0
   Abdominal pain. . . . . . . . . . . . . . . . . . . . . . . . . . . |  5.9
   Other symptoms, signs and ill-defined conditions. . . . . . . . . . |  7.6
Injury and poisoning . . . . . . . . . . . . . . . . . . . . . . . . . |  6.5
   Fracture of radius and ulna . . . . . . . . . . . . . . . . . . . . |  7.5
   Fracture of hand and fingers. . . . . . . . . . . . . . . . . . . . |  7.4
   Fracture of lower limb. . . . . . . . . . . . . . . . . . . . . . . |  8.0
   Other fractures . . . . . . . . . . . . . . . . . . . . . . . . . . |  7.9
   Sprains and strains of wrist and hand . . . . . . . . . . . . . . . |  8.8
   Sprains and strains of knee and leg . . . . . . . . . . . . . . . . |  6.5
   Sprains and strains of ankle. . . . . . . . . . . . . . . . . . . . |  8.3
   Sprains and strains of neck . . . . . . . . . . . . . . . . . . . . |  4.5
   Other sprains and strains of back . . . . . . . . . . . . . . . . . |  5.0
   Other sprains and strains . . . . . . . . . . . . . . . . . . . . . |  4.5
   Intracranial injury, excluding those with skull fracture. . . . . . |  3.2
   Open wound of head. . . . . . . . . . . . . . . . . . . . . . . . . |  4.3
   Open wound of hand and fingers. . . . . . . . . . . . . . . . . . . |  6.6
   Other open wound. . . . . . . . . . . . . . . . . . . . . . . . . . |  9.7
   Superficial injuries of cornea. . . . . . . . . . . . . . . . . . . |  5.3
   Other superficial injury. . . . . . . . . . . . . . . . . . . . . . |  7.0
   Contusion with intact skin surface. . . . . . . . . . . . . . . . . |  5.5
   Other injuries. . . . . . . . . . . . . . . . . . . . . . . . . . . |  7.3
   Poisonings. . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  
   Other and unspecified effects of external causes. . . . . . . . . . |  4.9
   Complications of surgical/medical care, not elsewhere classified. . |  7.9
Supplementary classification of factors influencing health status. . . |  9.2
   Potential health hazards related to communicable diseases . . . . . | 23.3
   Potential health hazards related to personal and family history . . | 10.1
   Routine infant or child health check. . . . . . . . . . . . . . . . |  8.0
   Normal pregnancy. . . . . . . . . . . . . . . . . . . . . . . . . . | 13.2
   Postpartum care and examination . . . . . . . . . . . . . . . . . . |  9.5
   Encounter for contraceptive management. . . . . . . . . . . . . . . | 14.1
   Other encounter related to reproduction . . . . . . . . . . . . . . | 17.8
   Lens replaced by pseudophakos . . . . . . . . . . . . . . . . . . . |  
   Artificial opening status and other postsurgical states . . . . . . |  7.9
   Attention to dressings and sutures. . . . . . . . . . . . . . . . . |  9.1
   Follow-up examination . . . . . . . . . . . . . . . . . . . . . . . |  5.4
   General medical examination . . . . . . . . . . . . . . . . . . . . |  7.8
   Observation and evaluation for suspected conditions not found . . . |  9.6
   Gynecological examination . . . . . . . . . . . . . . . . . . . . . |  7.4
   Other factors influencing health status or health services contact. |  8.4
Blank and illegible. . . . . . . . . . . . . . . . . . . . . . . . . . |  5.0

Author : CDC
Page : 22+
Table : 7
File : https://www.cdc.gov/nchs/data/series/sr_13/sr13_169.pdf  
