Table : Percent distribution of setting type according to diagnosis group, by hospital emergency departments, in United States, 2006–2007

Diagnosis group                                                        | Percent
   Other rheumatism,excluding back . . . . . . . . . . . . . . . . . . | 13.0
   Disorders of bone and cartilage . . . . . . . . . . . . . . . . . . |  4.5
   Other diseases of the musculoskeletal system, connective tissue . . |  
Congenital anomalies . . . . . . . . . . . . . . . . . . . . . . . . . |  2.2
Certain conditions originating in the perinatal period . . . . . . . . |  6.4
Symptoms, signs, and ill-defined conditions. . . . . . . . . . . . . . | 26.1
   Syncope and collapse. . . . . . . . . . . . . . . . . . . . . . . . | 44.9
   Convulsions . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 33.2
   Dizziness and giddiness . . . . . . . . . . . . . . . . . . . . . . | 21.5
   Pyrexia of unknown origin . . . . . . . . . . . . . . . . . . . . . | 50.6
   Symptoms involving skin and other integumentary tissue. . . . . . . | 11.9
   Headache. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 31.2
   Epistaxis . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 29.7
   Abnormal heart sounds . . . . . . . . . . . . . . . . . . . . . . . | 27.9
   Dyspnea and respiratory abnormalities . . . . . . . . . . . . . . . | 29.3
   Cough . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . |  9.3
   Chest pain. . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 48.3
   Symptoms involving the urinary system . . . . . . . . . . . . . . . | 14.2
   Abdominal pain. . . . . . . . . . . . . . . . . . . . . . . . . . . | 38.2
   Other symptoms, signs and ill-defined conditions. . . . . . . . . . | 15.8
Injury and poisoning . . . . . . . . . . . . . . . . . . . . . . . . . | 34.9
   Fracture of radius and ulna . . . . . . . . . . . . . . . . . . . . | 20.5
   Fracture of hand and fingers. . . . . . . . . . . . . . . . . . . . | 29.6
   Fracture of lower limb. . . . . . . . . . . . . . . . . . . . . . . | 26.4
   Other fractures . . . . . . . . . . . . . . . . . . . . . . . . . . | 31.0
   Sprains and strains of wrist and hand . . . . . . . . . . . . . . . | 33.2
   Sprains and strains of knee and leg . . . . . . . . . . . . . . . . | 22.7
   Sprains and strains of ankle. . . . . . . . . . . . . . . . . . . . | 33.6
   Sprains and strains of neck . . . . . . . . . . . . . . . . . . . . | 42.7
   Other sprains and strains of back . . . . . . . . . . . . . . . . . | 22.9
   Other sprains and strains . . . . . . . . . . . . . . . . . . . . . | 20.7
   Intracranial injury, excluding those with skull fracture. . . . . . | 51.4
   Open wound of head. . . . . . . . . . . . . . . . . . . . . . . . . | 64.9
   Open wound of hand and fingers. . . . . . . . . . . . . . . . . . . | 54.0
   Other open wound. . . . . . . . . . . . . . . . . . . . . . . . . . | 44.4
   Superficial injuries of cornea. . . . . . . . . . . . . . . . . . . | 41.6
   Other superficial injury. . . . . . . . . . . . . . . . . . . . . . | 28.9
   Contusion with intact skin surface. . . . . . . . . . . . . . . . . | 51.9
   Other injuries. . . . . . . . . . . . . . . . . . . . . . . . . . . | 32.0
   Poisonings. . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 58.9
   Other and unspecified effects of external causes. . . . . . . . . . | 22.6
   Complications of surgical/medical care, not elsewhere classified. . | 23.4
Supplementary classification of factors influencing health status. . . |  1.6
   Potential health hazards related to communicable diseases . . . . . |  2.1
   Potential health hazards related to personal and family history . . |  2.1
   Routine infant or child health check. . . . . . . . . . . . . . . . |  0.2
   Normal pregnancy. . . . . . . . . . . . . . . . . . . . . . . . . . |  1.2
   Postpartum care and examination . . . . . . . . . . . . . . . . . . |  
   Encounter for contraceptive management. . . . . . . . . . . . . . . |  
   Other encounter related to reproduction . . . . . . . . . . . . . . |  0.9
   Lens replaced by pseudophakos . . . . . . . . . . . . . . . . . . . |  
   Artificial opening status and other postsurgical states . . . . . . |  0.9
   Attention to dressings and sutures. . . . . . . . . . . . . . . . . | 25.6
   Follow-up examination . . . . . . . . . . . . . . . . . . . . . . . |  1.1
   General medical examination . . . . . . . . . . . . . . . . . . . . |  1.3
   Observation and evaluation for suspected conditions not found . . . |  7.0
   Gynecological examination . . . . . . . . . . . . . . . . . . . . . |  
   Other factors influencing health status or health services contact. |  2.2
Blank and illegible. . . . . . . . . . . . . . . . . . . . . . . . . . | 16.2

---
Author : CDC
Page : 22+
Table : 7
File : https://www.cdc.gov/nchs/data/series/sr_13/sr13_169.pdf  
