Table : Percent distribution of setting type according to diagnosis group, by medical specialty offices, in United States, 2006–2007

Diagnosis group                                                        | Percent
Diseases of the musculoskeletal system and connective tissue . . . . . | 16.1
   Rheumatoid arthritis. . . . . . . . . . . . . . . . . . . . . . . . | 68.7
   Osteoarthrosis and allied disorders . . . . . . . . . . . . . . . . | 13.6
   Other arthropathies and related disorders . . . . . . . . . . . . . | 28.2
   Derangements and other unspecified disorders of joints. . . . . . . |  8.0
   Intervertebral disc disorders . . . . . . . . . . . . . . . . . . . | 13.2
   Lumbago . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 11.7
   Other dorsopathies. . . . . . . . . . . . . . . . . . . . . . . . . | 19.7
   Peripheral enthesopathies . . . . . . . . . . . . . . . . . . . . . | 
   Synovitis and tenosynovitis . . . . . . . . . . . . . . . . . . . . | 
   Myalgia and myositis, unspecified . . . . . . . . . . . . . . . . . | 32.4
   Other rheumatism,excluding back . . . . . . . . . . . . . . . . . . | 14.5
   Disorders of bone and cartilage . . . . . . . . . . . . . . . . . . | 
   Other diseases of the musculoskeletal system, connective tissue . . | 
Congenital anomalies . . . . . . . . . . . . . . . . . . . . . . . . . | 25.3
Certain conditions originating in the perinatal period . . . . . . . . | 
Symptoms, signs, and ill-defined conditions. . . . . . . . . . . . . . | 15.0
   Syncope and collapse. . . . . . . . . . . . . . . . . . . . . . . . | 23.1
   Convulsions . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 35.1
   Dizziness and giddiness . . . . . . . . . . . . . . . . . . . . . . | 10.4
   Pyrexia of unknown origin . . . . . . . . . . . . . . . . . . . . . | 
   Symptoms involving skin and other integumentary tissue. . . . . . . | 15.7
   Headache. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 15.4
   Epistaxis . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Abnormal heart sounds . . . . . . . . . . . . . . . . . . . . . . . | 34.0
   Dyspnea and respiratory abnormalities . . . . . . . . . . . . . . . | 30.1
   Cough . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Chest pain. . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 14.6
   Symptoms involving the urinary system . . . . . . . . . . . . . . . | 
   Abdominal pain. . . . . . . . . . . . . . . . . . . . . . . . . . . | 12.8
   Other symptoms, signs and ill-defined conditions. . . . . . . . . . | 15.6
Injury and poisoning . . . . . . . . . . . . . . . . . . . . . . . . . |  8.6
   Fracture of radius and ulna . . . . . . . . . . . . . . . . . . . . | 
   Fracture of hand and fingers. . . . . . . . . . . . . . . . . . . . | 
   Fracture of lower limb. . . . . . . . . . . . . . . . . . . . . . . | 
   Other fractures . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Sprains and strains of wrist and hand . . . . . . . . . . . . . . . | 
   Sprains and strains of knee and leg . . . . . . . . . . . . . . . . | 
   Sprains and strains of ankle. . . . . . . . . . . . . . . . . . . . | 
   Sprains and strains of neck . . . . . . . . . . . . . . . . . . . . | 
   Other sprains and strains of back . . . . . . . . . . . . . . . . . | 21.4
   Other sprains and strains . . . . . . . . . . . . . . . . . . . . . | 
   Intracranial injury, excluding those with skull fracture. . . . . . | 
   Open wound of head. . . . . . . . . . . . . . . . . . . . . . . . . | 
   Open wound of hand and fingers. . . . . . . . . . . . . . . . . . . | 
   Other open wound. . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Superficial injuries of cornea. . . . . . . . . . . . . . . . . . . | 
   Other superficial injury. . . . . . . . . . . . . . . . . . . . . . | 
   Contusion with intact skin surface. . . . . . . . . . . . . . . . . | 
   Other injuries. . . . . . . . . . . . . . . . . . . . . . . . . . . |  4.9
   Poisonings. . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Other and unspecified effects of external causes. . . . . . . . . . | 29.2
   Complications of surgical/medical care, not elsewhere classified. . | 
Supplementary classification of factors influencing health status. . . | 11.2
   Potential health hazards related to communicable diseases . . . . . | 11.5
   Potential health hazards related to personal and family history . . | 23.6
   Routine infant or child health check. . . . . . . . . . . . . . . . | 
   Normal pregnancy. . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Postpartum care and examination . . . . . . . . . . . . . . . . . . | 
   Encounter for contraceptive management. . . . . . . . . . . . . . . | 
   Other encounter related to reproduction . . . . . . . . . . . . . . | 
   Lens replaced by pseudophakos . . . . . . . . . . . . . . . . . . . | 
   Artificial opening status and other postsurgical states . . . . . . |  7.5
   Attention to dressings and sutures. . . . . . . . . . . . . . . . . | 
   Follow-up examination . . . . . . . . . . . . . . . . . . . . . . . | 19.8
   General medical examination . . . . . . . . . . . . . . . . . . . . | 15.9
   Observation and evaluation for suspected conditions not found . . . | 22.1
   Gynecological examination . . . . . . . . . . . . . . . . . . . . . | 
   Other factors influencing health status or health services contact. | 22.0
Blank and illegible. . . . . . . . . . . . . . . . . . . . . . . . . . | 15.9

---
Author : CDC
Page : 22+
Table : 7
File : https://www.cdc.gov/nchs/data/series/sr_13/sr13_169.pdf  
